,phase,set_input_voltage,set_output_voltage,U_in,I_in,P_in,U_out,I_out,P_out,n
149,5.0,33.0,10.5,32.96547,0.0299458,0.9871773,10.57854,0.06306362,0.6671209,0.6757864
150,5.0,33.0,11.0,32.96747,0.02813964,0.9276927,11.0696,0.05227334,0.578645,0.6237465
151,5.0,33.0,11.5,32.96835,0.02654005,0.8749818,11.5647,0.04268168,0.4936009,0.564127
152,5.0,33.0,12.0,32.96909,0.02551797,0.8413045,12.06682,0.03572733,0.4311154,0.5124368
153,5.0,33.5,8.0,33.45937,0.03284932,1.099117,8.037592,0.1025737,0.8244455,0.7500978
154,5.0,33.5,8.5,33.45889,0.03380936,1.131223,8.542092,0.09934071,0.8485776,0.7501414
155,5.0,33.5,9.0,33.4586,0.03448661,1.153874,9.038528,0.09545453,0.8627685,0.7477148
156,5.0,33.5,9.5,33.45893,0.03411178,1.141344,9.54669,0.08933476,0.8528512,0.7472342
157,5.0,33.5,10.0,33.45979,0.03273119,1.095179,10.0456,0.08023413,0.8059996,0.7359526
158,5.0,33.5,10.5,33.46183,0.03085119,1.032337,10.58154,0.06713575,0.7103994,0.6881467
159,5.0,33.5,11.0,33.46302,0.02902005,0.9710987,11.07254,0.05625679,0.6229056,0.6414442
160,5.0,33.5,11.5,33.46414,0.02729696,0.9134695,11.56722,0.04612263,0.5335106,0.5840486
