,U_in,I_in,P_in,U_out,I_out,P_out,n
307,30.97276,0.03191969,0.9886411,8.074213,0.08957367,0.7232369,0.7315465
308,30.97281,0.03221601,0.9978203,8.50646,0.08665813,0.7371539,0.7387642
309,30.97379,0.0314287,0.9734658,8.992973,0.0798119,0.7177463,0.7373102
310,30.97456,0.02992454,0.9268995,9.509616,0.07039763,0.6694544,0.7222514
311,30.97592,0.02814096,0.871692,10.03466,0.05794106,0.581419,0.6670005
312,30.97797,0.02641025,0.8181359,10.53678,0.04728824,0.4982656,0.6090255
313,30.97869,0.02502958,0.7753836,11.02266,0.03812912,0.4202845,0.5420343
314,30.97933,0.02419063,0.7494094,11.5123,0.03142935,0.3618242,0.4828125
315,31.47609,0.02409073,0.758282,12.04492,0.02873689,0.3461336,0.4564708
316,31.4702,0.03213296,1.011231,8.076217,0.09179371,0.7413459,0.7331125
317,31.4696,0.03263868,1.027126,8.507724,0.08949143,0.7613683,0.7412608
318,31.47045,0.03216204,1.012154,8.995835,0.08303186,0.7469409,0.7379715
319,31.47134,0.03082166,0.9699991,9.496529,0.0744945,0.7074391,0.7293194
320,31.47239,0.02899247,0.9124622,10.0428,0.0617663,0.6203065,0.6798161
321,31.47394,0.02732036,0.8598794,10.51981,0.05157289,0.542537,0.6309454
322,31.4751,0.02573506,0.8100135,11.02158,0.04137627,0.456032,0.5629931
323,31.47607,0.02471637,0.7779741,11.50735,0.03408769,0.3922591,0.5042059
324,31.9713,0.02452139,0.7839808,12.04678,0.03083451,0.3714566,0.4738083
325,31.96564,0.03232117,1.033167,8.077766,0.09396665,0.7590407,0.7346737
326,31.96485,0.0329543,1.053379,8.507719,0.09199444,0.7826629,0.7430021
327,31.9657,0.03283893,1.049719,8.993368,0.08645973,0.7775642,0.7407353
328,31.96653,0.03162264,1.010866,9.509661,0.07809424,0.7426497,0.7346666
329,31.96732,0.02989458,0.9556497,10.03738,0.06592475,0.6617118,0.6924208
330,31.96865,0.02813842,0.8995471,10.53395,0.05524026,0.581898,0.6468789
331,31.97012,0.02651691,0.8477486,11.01515,0.04507624,0.4965216,0.5856944
332,31.97106,0.02525135,0.8073124,11.51998,0.0366196,0.4218571,0.5225451
333,32.4876,0.02499962,0.8121776,12.04882,0.03325374,0.4006685,0.4933262
334,32.48162,0.03250098,1.055685,8.079623,0.09614923,0.7768496,0.7358727
335,32.48131,0.03319858,1.078333,8.497622,0.0945215,0.8032079,0.7448605
336,32.48055,0.03346096,1.08683,9.003427,0.08944318,0.8052951,0.7409574
337,32.48153,0.0324952,1.055494,9.499426,0.08212852,0.7801738,0.7391552
338,32.48318,0.03093026,1.004713,10.00479,0.07218225,0.722168,0.7187802
339,32.48439,0.02908064,0.9446671,10.52877,0.0595428,0.6269127,0.6636335
340,32.48578,0.02731705,0.8874157,11.02906,0.04873856,0.5375404,0.6057369
